State,Account_Length,Area_Code,International_Plan,VMail_Plan,Day_Mins,Day_Calls,Eve_Mins,Eve_Calls,Night_Mins,Night_Calls,International_Mins,International_calls,CustServ_Calls,Churn
16,128,415,0,1,0.7541963015647227,110,0.5427550178718724,99,0.5957504034427111,91,0.5,3,1,0
35,107,415,0,1,0.4597439544807966,123,0.5375309320868848,103,0.6218396987627758,103,0.685,3,1,0
31,137,415,0,0,0.6924608819345662,114,0.33324168270552657,110,0.37493275954814415,104,0.61,5,0,0
35,84,408,1,0,0.851778093883357,71,0.1701952158372285,88,0.46718665949435184,89,0.33,7,2,0
36,75,415,1,0,0.47425320056899,113,0.4077536431124554,122,0.44029047875201716,121,0.505,3,3,0
1,118,510,1,0,0.6355618776671409,98,0.6065438548254055,101,0.486013986013986,118,0.315,6,0,0
19,121,510,0,1,0.6207681365576102,88,0.9582073137200989,108,0.5094136632598171,118,0.375,7,3,0
24,147,415,1,0,0.4466571834992888,79,0.2834753918064339,94,0.5072619688004304,96,0.355,6,0,0
18,117,408,0,0,0.5248933143669986,97,0.9667308221061315,80,0.5180204410973642,90,0.435,4,1,0
49,141,415,1,1,0.7357041251778095,84,0.6103931811932912,111,0.8154922001075847,97,0.5599999999999999,5,0,0
15,65,415,0,0,0.36728307254623044,137,0.6282650536156172,83,0.49919311457773,111,0.635,6,4,1
39,74,415,0,0,0.5339971550497866,127,0.449271377508936,148,0.46476600322754164,94,0.455,5,0,0
12,168,408,0,0,0.3664295874822191,96,0.2884245257080011,71,0.3171059709521248,128,0.5599999999999999,2,1,0
26,95,510,0,0,0.44551920341394025,88,0.680780863348914,75,0.45481441635287795,115,0.6150000000000001,5,3,0
12,62,415,0,0,0.34338549075391184,70,0.8446521858674731,76,0.4835933297471759,99,0.655,6,4,0
34,161,415,0,0,0.9470839260312944,67,0.8737970855100358,97,0.36955352339967723,128,0.27,9,4,1
13,85,408,0,1,0.5587482219061167,139,0.7723398405279076,90,0.1777837547068316,75,0.6900000000000001,4,1,0
46,93,510,0,0,0.5425320056899005,114,0.5999450096233159,111,0.28617536309844,121,0.405,3,3,0
45,76,510,0,1,0.5396870554765292,66,0.5850976079186143,65,0.3832705755782678,108,0.5,5,1,0
43,73,415,0,0,0.6384068278805122,90,0.43854825405554027,88,0.4561592253899946,74,0.65,2,1,0
9,147,415,0,0,0.4412517780938834,117,0.6590596645587022,93,0.49919311457773,133,0.53,4,0,0
5,77,408,0,0,0.177524893314367,89,0.46714324993126205,121,0.5013448090371168,64,0.28500000000000003,6,5,1
3,130,415,0,0,0.5206258890469417,112,0.20043992301347266,99,0.42657342657342656,78,0.47500000000000003,19,0,0
40,111,415,0,0,0.3140825035561878,103,0.3775089359362112,102,0.44755244755244755,105,0.385,6,2,0
45,132,510,0,0,0.23072546230440966,86,0.6741820181468243,72,0.5750403442711135,115,0.515,2,0,0
29,174,415,0,0,0.35362731152204835,76,0.7618916689579325,112,0.6118881118881119,115,0.775,5,3,0
50,57,408,0,1,0.6059743954480797,115,0.5254330492163871,112,0.42899408284023666,115,0.47500000000000003,3,0,0
26,54,408,0,0,0.38207681365576107,73,0.42755017871872425,100,0.2122108660570199,68,0.735,4,3,0
24,20,415,0,0,0.5405405405405406,109,0.7099257629914765,84,0.42576654115115653,102,0.315,6,0,0
